Decision Tree,K-Nearest Neighbors,Random Forest,Support Vector Machines
0.8850725857353252,0.8562802440563854,0.8912055543867032,0.8820113612455291
0.023502333499171628,0.03401622694458377,0.025875946441035063,0.029777182974677314
0.8974358974358975,0.8564102564102564,0.8871794871794871,0.8615384615384616
0.8468468468468469,0.8301886792452831,0.8584905660377359,0.8198198198198198
0.9690721649484536,0.8979591836734694,0.9285714285714286,0.9285714285714286
0.903846153846154,0.8627450980392157,0.8921568627450982,0.8708133971291867
"[[81 17]
 [ 3 94]]","[[79 18]
 [10 88]]","[[82 15]
 [ 7 91]]","[[77 20]
 [ 7 91]]"
"              precision    recall  f1-score   support

           0       0.96      0.83      0.89        98
           1       0.85      0.97      0.90        97

    accuracy                           0.90       195
   macro avg       0.91      0.90      0.90       195
weighted avg       0.91      0.90      0.90       195
","              precision    recall  f1-score   support

           0       0.89      0.81      0.85        97
           1       0.83      0.90      0.86        98

    accuracy                           0.86       195
   macro avg       0.86      0.86      0.86       195
weighted avg       0.86      0.86      0.86       195
","              precision    recall  f1-score   support

           0       0.92      0.85      0.88        97
           1       0.86      0.93      0.89        98

    accuracy                           0.89       195
   macro avg       0.89      0.89      0.89       195
weighted avg       0.89      0.89      0.89       195
","              precision    recall  f1-score   support

           0       0.92      0.79      0.85        97
           1       0.82      0.93      0.87        98

    accuracy                           0.86       195
   macro avg       0.87      0.86      0.86       195
weighted avg       0.87      0.86      0.86       195
"
